signal_t,numsig_ratio,num_PvsN,t-1vst,OCt-1Over2p,target,parameter,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,IQR
n,Over20p,moreP,same,over2p,2to9,OtoL,312.0,-3.8518,5.8336,-45.1389,-4.241,-1.7729,-0.6232,0.0,-3.5299,17.0951,0.0362
n,Over20p,moreP,same,over2p,2to9,LtoH,312.0,21.3513,136.1557,1.0893,5.213,9.229,15.9037,2400.0,17.2619,302.3266,0.1069
n,Over20p,moreP,same,over2p,2to9,OC/LH,312.0,34.6215,44.9543,-90.363,6.371,44.159,69.6542,99.3818,-0.8065,-0.1637,0.6328
p,Under20p,moreN,diff,under2p,2to9,OtoC,21896.0,128.0188,19022.8743,-34.7222,-2.6253,-0.7433,0.975,2814870.5882,147.973,21895.9973,0.036
p,Under20p,moreN,diff,under2p,2to9,OtoH,21896.0,339.2104,49690.4117,0.0,0.6589,1.8845,4.0861,7352841.1765,147.973,21895.9994,0.0343
p,Under20p,moreN,diff,under2p,2to9,OtoL,21896.0,-3.1241,2.93,-88.2353,-4.1798,-2.395,-1.2062,0.0,-3.424,43.2983,0.0297
p,Under20p,moreN,diff,under2p,2to9,LtoH,21896.0,2861.2139,422373.7145,0.0,3.2787,5.2455,8.2963,62499900.0,147.973,21896.0,0.0502
p,Under20p,moreN,diff,under2p,2to9,OC/LH,21895.0,-13.978,47.6424,-99.9544,-53.6559,-18.6084,21.1621,100.0,0.3483,-0.7683,0.7482
p,Under20p,moreN,diff,over2p,2to9,OtoC,4816.0,-0.8325,7.3834,-81.3725,-3.9105,-0.8639,1.7737,119.4553,2.0837,34.8967,0.0568
p,Under20p,moreN,diff,over2p,2to9,OtoH,4816.0,5.1069,7.8672,0.0,1.159,2.8443,6.2523,152.0428,6.3513,70.0077,0.0509
p,Under20p,moreN,diff,over2p,2to9,OtoL,4816.0,-4.9479,4.9948,-81.4815,-6.698,-3.6151,-1.8374,0.0,-3.4129,25.1372,0.0486
p,Under20p,moreN,diff,over2p,2to9,LtoH,4816.0,10.9885,12.6724,0.0,5.1764,8.37,13.0958,448.4314,12.5499,334.843,0.0792
p,Under20p,moreN,diff,over2p,2to9,OC/LH,4815.0,-10.4295,47.1826,-98.5447,-49.1795,-12.961,24.6797,100.0,0.2955,-0.7265,0.7386
p,Under20p,moreN,same,under2p,2to9,OtoC,28807.0,-0.5395,5.0639,-84.7415,-2.8262,-0.9132,1.0059,129.6474,3.3494,52.8357,0.0383
p,Under20p,moreN,same,under2p,2to9,OtoH,28807.0,3.6982,7.2107,0.0,0.7184,1.975,4.4417,501.2024,27.0151,1606.3554,0.0372
p,Under20p,moreN,same,under2p,2to9,OtoL,28807.0,-3.2657,2.8948,-85.1499,-4.3727,-2.57,-1.3413,0.0,-3.186,35.1139,0.0303
p,Under20p,moreN,same,under2p,2to9,LtoH,28807.0,7.3082,10.0294,0.0,3.6764,5.625,8.6798,1037.3976,50.2413,4456.5216,0.05
p,Under20p,moreN,same,under2p,2to9,OC/LH,28805.0,-15.2536,46.6362,-99.302,-53.9202,-21.7996,20.4444,100.0,0.3748,-0.8418,0.7436
p,Under20p,moreN,same,over2p,2to9,OtoC,9292.0,-1.2147,7.7303,-65.8231,-4.9059,-1.8634,1.4966,86.043,1.6105,12.3688,0.064
p,Under20p,moreN,same,over2p,2to9,OtoH,9292.0,5.9826,10.7425,0.0,1.2135,3.2178,7.0017,505.3269,15.2302,552.0315,0.0579
p,Under20p,moreN,same,over2p,2to9,OtoL,9292.0,-5.4538,4.7071,-69.9207,-7.2332,-4.4085,-2.3474,0.0,-2.646,15.8432,0.0489
p,Under20p,moreN,same,over2p,2to9,LtoH,9292.0,12.426,15.9095,0.5965,6.268,9.5343,14.5286,1037.3976,31.523,1880.4691,0.0826
p,Under20p,moreN,same,over2p,2to9,OC/LH,9292.0,-16.7521,45.97,-98.0392,-54.7852,-24.0313,16.5695,100.0,0.4587,-0.6831,0.7135
p,Under20p,moreP,diff,under2p,2to9,OtoC,109632.0,-0.2451,4.127,-72.2088,-2.1277,-0.4665,1.126,156.3306,3.8719,80.0316,0.0325
p,Under20p,moreP,diff,under2p,2to9,OtoH,109632.0,2.9538,4.8088,0.0,0.6073,1.695,3.551,397.6303,12.8525,575.2766,0.0294
p,Under20p,moreP,diff,under2p,2to9,OtoL,109632.0,-2.6057,2.4581,-72.3695,-3.4994,-2.049,-0.9759,0.0,-3.0968,30.6373,0.0252
