signal_t,numsig_ratio,num_PvsN,t-1vst,OCt-1Over2p,target,position_type,metric,value
n,Over20p,moreN,same,over2p,2to9,롱,부분 익절,5.0051
n,Over20p,moreN,same,over2p,2to9,롱,손실 전체,19.9749
n,Over20p,moreN,same,over2p,2to9,롱,익절선보다 큰 손실,10.3645
n,Over20p,moreN,same,over2p,2to9,롱,손실 평균,-3.199
n,Over20p,moreN,same,over2p,2to9,롱,손실 중위값,-2.1087
n,Over20p,moreN,same,over2p,2to9,숏,완전 익절,53.8338
n,Over20p,moreN,same,over2p,2to9,숏,부분 익절,3.8053
n,Over20p,moreN,same,over2p,2to9,숏,손실 전체,42.3609
n,Over20p,moreN,same,over2p,2to9,숏,익절선보다 큰 손실,32.1563
n,Over20p,moreN,same,over2p,2to9,숏,손실 평균,6.1596
n,Over20p,moreN,same,over2p,2to9,숏,손실 중위값,4.4715
n,Over20p,moreP,diff,under2p,2to9,양방향,양쪽 다 털기,32.6316
n,Over20p,moreP,diff,under2p,2to9,양방향,양쪽 부분 털기,7.3684
n,Over20p,moreP,diff,under2p,2to9,양방향,횡보,10.5263
n,Over20p,moreP,diff,under2p,2to9,양방향,한쪽 박살,36.8421
n,Over20p,moreP,diff,under2p,2to9,롱,완전 익절,68.4211
n,Over20p,moreP,diff,under2p,2to9,롱,부분 익절,8.4211
n,Over20p,moreP,diff,under2p,2to9,롱,손실 전체,23.1579
n,Over20p,moreP,diff,under2p,2to9,롱,익절선보다 큰 손실,12.6316
n,Over20p,moreP,diff,under2p,2to9,롱,손실 평균,-2.8116
n,Over20p,moreP,diff,under2p,2to9,롱,손실 중위값,-2.1091
n,Over20p,moreP,diff,under2p,2to9,숏,완전 익절,53.6842
n,Over20p,moreP,diff,under2p,2to9,숏,부분 익절,7.3684
n,Over20p,moreP,diff,under2p,2to9,숏,손실 전체,38.9474
n,Over20p,moreP,diff,under2p,2to9,숏,익절선보다 큰 손실,24.2105
n,Over20p,moreP,diff,under2p,2to9,숏,손실 평균,4.005
n,Over20p,moreP,diff,under2p,2to9,숏,손실 중위값,2.5203
n,Over20p,moreP,diff,over2p,2to9,양방향,양쪽 다 털기,43.4555
n,Over20p,moreP,diff,over2p,2to9,양방향,양쪽 부분 털기,5.2356
n,Over20p,moreP,diff,over2p,2to9,양방향,횡보,1.5707
n,Over20p,moreP,diff,over2p,2to9,양방향,한쪽 박살,39.7906
n,Over20p,moreP,diff,over2p,2to9,롱,완전 익절,81.6754
n,Over20p,moreP,diff,over2p,2to9,롱,부분 익절,2.6178
n,Over20p,moreP,diff,over2p,2to9,롱,손실 전체,15.7068
n,Over20p,moreP,diff,over2p,2to9,롱,익절선보다 큰 손실,8.9005
n,Over20p,moreP,diff,over2p,2to9,롱,손실 평균,-4.9559
n,Over20p,moreP,diff,over2p,2to9,롱,손실 중위값,-3.1818
n,Over20p,moreP,diff,over2p,2to9,숏,완전 익절,60.2094
n,Over20p,moreP,diff,over2p,2to9,숏,부분 익절,4.1885
n,Over20p,moreP,diff,over2p,2to9,숏,손실 전체,35.6021
n,Over20p,moreP,diff,over2p,2to9,숏,익절선보다 큰 손실,30.8901
n,Over20p,moreP,diff,over2p,2to9,숏,손실 평균,6.9678
n,Over20p,moreP,diff,over2p,2to9,숏,손실 중위값,5.6393
n,Over20p,moreP,same,under2p,2to9,양방향,양쪽 다 털기,22.6054
n,Over20p,moreP,same,under2p,2to9,양방향,양쪽 부분 털기,5.7471
n,Over20p,moreP,same,under2p,2to9,양방향,횡보,11.4943
n,Over20p,moreP,same,under2p,2to9,양방향,한쪽 박살,45.2107
n,Over20p,moreP,same,under2p,2to9,롱,완전 익절,70.4981
n,Over20p,moreP,same,under2p,2to9,롱,부분 익절,9.9617
n,Over20p,moreP,same,under2p,2to9,롱,손실 전체,19.5402
n,Over20p,moreP,same,under2p,2to9,롱,익절선보다 큰 손실,11.1111
n,Over20p,moreP,same,under2p,2to9,롱,손실 평균,-3.7423
n,Over20p,moreP,same,under2p,2to9,롱,손실 중위값,-2.6144
n,Over20p,moreP,same,under2p,2to9,숏,완전 익절,40.613
n,Over20p,moreP,same,under2p,2to9,숏,부분 익절,4.5977
n,Over20p,moreP,same,under2p,2to9,숏,손실 전체,54.7893
n,Over20p,moreP,same,under2p,2to9,숏,익절선보다 큰 손실,34.0996
n,Over20p,moreP,same,under2p,2to9,숏,손실 평균,3.7925
n,Over20p,moreP,same,under2p,2to9,숏,손실 중위값,2.7273
n,Over20p,moreP,same,over2p,2to9,양방향,양쪽 다 털기,35.5769
n,Over20p,moreP,same,over2p,2to9,양방향,양쪽 부분 털기,4.1667
n,Over20p,moreP,same,over2p,2to9,양방향,횡보,3.8462
n,Over20p,moreP,same,over2p,2to9,양방향,한쪽 박살,47.4359
n,Over20p,moreP,same,over2p,2to9,롱,완전 익절,83.6538
n,Over20p,moreP,same,over2p,2to9,롱,부분 익절,6.4103
n,Over20p,moreP,same,over2p,2to9,롱,손실 전체,9.9359
n,Over20p,moreP,same,over2p,2to9,롱,익절선보다 큰 손실,6.0897
n,Over20p,moreP,same,over2p,2to9,롱,손실 평균,-4.4306
n,Over20p,moreP,same,over2p,2to9,롱,손실 중위값,-3.8836
n,Over20p,moreP,same,over2p,2to9,숏,완전 익절,48.0769
n,Over20p,moreP,same,over2p,2to9,숏,부분 익절,1.6026
n,Over20p,moreP,same,over2p,2to9,숏,손실 전체,50.3205
n,Over20p,moreP,same,over2p,2to9,숏,익절선보다 큰 손실,41.3462
n,Over20p,moreP,same,over2p,2to9,숏,손실 평균,11.6333
n,Over20p,moreP,same,over2p,2to9,숏,손실 중위값,4.856
p,Under20p,moreN,diff,under2p,2to9,양방향,양쪽 다 털기,22.0406
p,Under20p,moreN,diff,under2p,2to9,양방향,양쪽 부분 털기,4.9324
p,Under20p,moreN,diff,under2p,2to9,양방향,횡보,15.3133
p,Under20p,moreN,diff,under2p,2to9,양방향,한쪽 박살,36.3719
p,Under20p,moreN,diff,under2p,2to9,롱,완전 익절,48.1869
p,Under20p,moreN,diff,under2p,2to9,롱,부분 익절,6.2569
p,Under20p,moreN,diff,under2p,2to9,롱,손실 전체,45.5563
p,Under20p,moreN,diff,under2p,2to9,롱,익절선보다 큰 손실,23.6162
p,Under20p,moreN,diff,under2p,2to9,롱,손실 평균,-2.6946
p,Under20p,moreN,diff,under2p,2to9,롱,손실 중위값,-2.0794
p,Under20p,moreN,diff,under2p,2to9,숏,완전 익절,58.5404
p,Under20p,moreN,diff,under2p,2to9,숏,부분 익절,12.5411
p,Under20p,moreN,diff,under2p,2to9,숏,손실 전체,28.9185
p,Under20p,moreN,diff,under2p,2to9,숏,익절선보다 큰 손실,12.7558
p,Under20p,moreN,diff,under2p,2to9,숏,손실 평균,2.9519
p,Under20p,moreN,diff,under2p,2to9,숏,손실 중위값,1.6493
p,Under20p,moreN,diff,over2p,2to9,양방향,양쪽 다 털기,40.407
p,Under20p,moreN,diff,over2p,2to9,양방향,양쪽 부분 털기,3.5922
p,Under20p,moreN,diff,over2p,2to9,양방향,횡보,4.0282
p,Under20p,moreN,diff,over2p,2to9,양방향,한쪽 박살,36.7733
p,Under20p,moreN,diff,over2p,2to9,롱,완전 익절,63.1852
p,Under20p,moreN,diff,over2p,2to9,롱,부분 익절,3.4468
p,Under20p,moreN,diff,over2p,2to9,롱,손실 전체,33.3679
p,Under20p,moreN,diff,over2p,2to9,롱,익절선보다 큰 손실,23.3181
p,Under20p,moreN,diff,over2p,2to9,롱,손실 평균,-4.4135
p,Under20p,moreN,diff,over2p,2to9,롱,손실 중위값,-3.2656
p,Under20p,moreN,diff,over2p,2to9,숏,완전 익절,73.1935
p,Under20p,moreN,diff,over2p,2to9,숏,부분 익절,3.6545
p,Under20p,moreN,diff,over2p,2to9,숏,손실 전체,23.152
p,Under20p,moreN,diff,over2p,2to9,숏,익절선보다 큰 손실,13.4551
p,Under20p,moreN,diff,over2p,2to9,숏,손실 평균,4.3352
p,Under20p,moreN,diff,over2p,2to9,숏,손실 중위값,2.381
p,Under20p,moreN,same,under2p,2to9,양방향,양쪽 다 털기,24.5496
p,Under20p,moreN,same,under2p,2to9,양방향,양쪽 부분 털기,5.3806
